chr,win_start,win_end,mid_bp,n_snps,pi_total,pi_per_site,theta_W,tajima_D
Ss01,46950601,47200601,47075601,4,1.0850459482038428,4.340183792815371e-06,0.6870956404912647,1.0379417881934747
Ss02,3731358,3981358,3856358,4,1.602172096908939,6.408688387635756e-06,0.6870956404912647,2.3867203394497807
Ss02,3831358,4081358,3956358,4,1.602172096908939,6.408688387635756e-06,0.6870956404912647,2.3867203394497807
Ss02,9231358,9481358,9356358,5,2.342745753272069,9.370983013088276e-06,0.8588695506140809,3.337004744470753
Ss02,9331358,9581358,9456358,5,2.181899192425508,8.727596769702032e-06,0.8588695506140809,2.9752860675923625
Ss02,9431358,9681358,9556358,4,1.3837850207462288,5.535140082984915e-06,0.6870956404912647,1.8171188893250483
Ss02,9531358,9781358,9656358,6,1.9363330575047917,7.745332230019167e-06,1.030643460736897,1.796830455857012
Ss02,9631358,9881358,9756358,6,2.160295405532593,8.641181622130371e-06,1.030643460736897,2.2411574850485945
Ss02,9731358,9981358,9856358,4,1.6459482038429405,6.583792815371762e-06,0.6870956404912647,2.5008980391037876
Ss02,9931358,10181358,10056358,4,1.9230854915065443,7.692341966026177e-06,0.6870956404912647,3.2237329417479863
Ss02,10031358,10281358,10156358,7,2.7436946195779677,1.097477847831187e-05,1.2024173708597132,2.7418519973811257
Ss02,10131358,10381358,10256358,4,1.1293810578959849,4.517524231583939e-06,0.6870956404912647,1.153577489791806
Ss02,10231358,10481358,10356358,10,2.7969928934293256,1.1187971573717302e-05,1.7177391012281618,1.4750654279885116
Ss02,10331358,10581358,10456358,9,2.9216150783872186,1.1686460313548874e-05,1.5459651911053456,2.0357679726870903
Ss02,10431358,10681358,10556358,8,3.4050524110163853,1.3620209644065542e-05,1.3741912809825294,3.2793808515389182
Ss02,10531358,10781358,10656358,5,2.4840434419381787,9.936173767752714e-06,0.8588695506140809,3.6547610752326904
Ss02,11431358,11681358,11556358,4,1.0364800891116681,4.145920356446673e-06,0.6870956404912647,0.9112713631320322
Ss02,11531358,11781358,11656358,4,0.8783068783068783,3.513227513227513e-06,0.6870956404912647,0.49872089618880006
Ss02,11631358,11881358,11756358,5,1.3783904204956836,5.513561681982735e-06,0.8588695506140809,1.1683209182417629
Ss02,12031358,12281358,12156358,4,0.5144398330467282,2.057759332186913e-06,0.6870956404912647,-0.45032425920475344
Ss02,12131358,12381358,12256358,4,0.5144398330467282,2.057759332186913e-06,0.6870956404912647,-0.45032425920475344
Ss02,12331358,12581358,12456358,4,0.9109997215260373,3.6439988861041492e-06,0.6870956404912647,0.5839910103069962
Ss02,14131358,14381358,14256358,5,1.5500417710944028,6.2001670843776115e-06,0.8588695506140809,1.55433787189107
Ss02,14231358,14481358,14356358,5,1.5500417710944028,6.2001670843776115e-06,0.8588695506140809,1.55433787189107
Ss02,24031358,24281358,24156358,6,0.8208298524087998,3.2833194096351993e-06,1.030643460736897,-0.4162568310849164
Ss02,24131358,24381358,24256358,8,1.4629351155666945,5.851740462266778e-06,1.3741912809825294,0.14330119746917247
Ss02,27631358,27881358,27756358,5,1.6326371484266222,6.530548593706489e-06,0.8588695506140809,1.7400819154543152
Ss02,27731358,27981358,27856358,5,1.6326371484266222,6.530548593706489e-06,0.8588695506140809,1.7400819154543152
Ss03,6129785,6379785,6254785,4,1.153661932609301,4.614647730437204e-06,0.6870956404912647,1.2169073428674402
Ss03,6229785,6479785,6354785,4,1.153661932609301,4.614647730437204e-06,0.6870956404912647,1.2169073428674402
Ss03,15629785,15879785,15754785,4,1.603898635477583,6.415594541910332e-06,0.6870956404912647,2.3912235311664154
Ss03,18929785,19179785,19054785,8,2.917397084078841,1.1669588336315365e-05,1.3741912809825294,2.491927924472815
Ss03,19029785,19279785,19154785,8,2.8798106377053747,1.1519242550821498e-05,1.3741912809825294,2.4312343247521464
Ss03,19129785,19379785,19254785,11,3.606661029299295,1.442664411719718e-05,1.8895130113509782,2.181418006215506
Ss03,19229785,19479785,19354785,6,1.4431411184109628,5.7725644736438515e-06,1.030643460736897,0.8183690713943236
Ss03,19329785,19579785,19454785,4,1.5545005769874447,6.2180023079497785e-06,0.6870956404912647,2.2623825473328965
Ss03,67329785,67579785,67454785,6,2.7312169312169314,1.0924867724867726e-05,1.030643460736897,3.373829416927779
Ss03,67429785,67679785,67554785,5,2.3048175995544415,9.219270398217766e-06,0.8588695506140809,3.2517102780738747
Ss03,72629785,72879785,72754785,4,0.8954051796157059,3.5816207184628236e-06,0.6870956404912647,0.5433170206083677
Ss03,72729785,72979785,72854785,4,0.8954051796157059,3.5816207184628236e-06,0.6870956404912647,0.5433170206083677
Ss03,74629785,74879785,74754785,6,0.8827581642721345,3.531032657088538e-06,1.030643460736897,-0.2933950059817539
Ss03,74729785,74979785,74854785,7,0.9541031935119005,3.816412774047602e-06,1.2024173708597132,-0.44173799600645963
Ss03,74829785,75079785,74954785,6,0.7432427089672053,2.9729708358688215e-06,1.030643460736897,-0.5701847803694339
Ss03,78029785,78279785,78154785,4,1.6281528901582332,6.512611560632932e-06,0.6870956404912647,2.454483953351379
Ss03,81729785,81979785,81854785,5,1.2009383822346684,4.803753528938674e-06,0.8588695506140809,0.769259128226995
Ss03,82129785,82379785,82254785,4,0.5638900518233867,2.2555602072935467e-06,0.6870956404912647,-0.3213472298901431
Ss03,82229785,82479785,82354785,6,0.7831047552486164,3.1324190209944656e-06,1.030643460736897,-0.4911010202745534
Ss03,82329785,82579785,82454785,4,0.4197159565580618,1.6788638262322473e-06,0.6870956404912647,-0.697384929448725
Ss03,82429785,82679785,82554785,6,1.039766081871345,4.15906432748538e-06,1.030643460736897,0.01809869910189741
Ss03,82529785,82779785,82654785,8,1.4096351991088834,5.638540796435534e-06,1.3741912809825294,0.057233901761239867
Ss03,82629785,82879785,82754785,5,0.7172375382901699,2.8689501531606795e-06,0.8588695506140809,-0.3185081722095416
Ss03,84229785,84479785,84354785,4,0.9399452746347032,3.7597810985388127e-06,0.6870956404912647,0.6594873689517475
Ss03,84329785,84579785,84454785,4,1.1433426569794538,4.573370627917815e-06,0.6870956404912647,1.1899924060210016
Ss03,84429785,84679785,84554785,7,2.767736976110615,1.1070947904442462e-05,1.2024173708597132,2.7846220981761705
Ss03,84529785,84779785,84654785,5,2.247340573656363,8.989362294625452e-06,0.8588695506140809,3.1224534655605445
Ss03,84629785,84879785,84754785,5,1.8827067669172934,7.530827067669174e-06,0.8588695506140809,2.302449248966771
Ss03,84729785,84979785,84854785,4,1.5050403787245892,6.020161514898357e-06,0.6870956404912647,2.1333794893268947
Ss03,96229785,96479785,96354785,5,1.4132015783402172,5.652806313360869e-06,0.8588695506140809,1.2466057500084888
Ss03,96329785,96579785,96454785,4,1.0233380305819324,4.09335212232773e-06,0.6870956404912647,0.8769939886294115
Ss03,97129785,97379785,97254785,6,2.832637148426622,1.1330548593706488e-05,1.030643460736897,3.5750406660934333
Ss03,97229785,97479785,97354785,6,2.798774714564188,1.1195098858256752e-05,1.030643460736897,3.5078597547849664
Ss03,97329785,97579785,97454785,7,3.257755499860763,1.3031021999443052e-05,1.2024173708597132,3.6563395449985467
Ss03,98829785,99079785,98954785,4,0.8126885628920506,3.2507542515682024e-06,0.6870956404912647,0.32757392049880746
Ss04,441889,691889,566889,4,1.7941091852411575,7.17643674096463e-06,0.6870956404912647,2.8873344131749836
Ss04,541889,791889,666889,6,2.3895058632415562,9.558023452966225e-06,1.030643460736897,2.6958964294752006
Ss04,641889,891889,766889,8,3.330747857115129,1.3322991428460517e-05,1.3741912809825294,3.159395822704446
Ss04,741889,991889,866889,4,1.8287021639374639,7.314808655749856e-06,0.6870956404912647,2.9775604978672363
Ss04,841889,1091889,966889,5,2.17666388192704,8.70665552770816e-06,0.8588695506140809,2.9635126757549086
Ss04,941889,1191889,1066889,4,1.753216374269006,7.012865497076024e-06,0.6870956404912647,2.7806769825307827
Ss04,1041889,1291889,1166889,5,1.9529935950988584,7.811974380395434e-06,0.8588695506140809,2.4605132968270644
Ss04,1241889,1491889,1366889,5,1.4497911445279865,5.799164578111946e-06,0.8588695506140809,1.3288899430887489
Ss04,1341889,1591889,1466889,6,1.807574491785018,7.230297967140072e-06,1.030643460736897,1.5413816650534153
Ss04,1441889,1691889,1566889,5,1.8483987747145643,7.3935950988582574e-06,0.8588695506140809,2.225295957776643
Ss04,3441889,3691889,3566889,5,1.6508493455861877,6.603397382344751e-06,0.8588695506140809,1.7810382891867367
Ss04,3541889,3791889,3666889,6,1.8749651907546645,7.499860763018658e-06,1.030643460736897,1.6750805181508575
Ss04,3641889,3891889,3766889,5,1.66104149262044,6.64416597048176e-06,0.8588695506140809,1.8039588286149726
Ss04,63241889,63491889,63366889,4,1.3301587301587303,5.3206349206349215e-06,0.6870956404912647,1.6772497477065613
Ss04,63941889,64191889,64066889,4,1.3673489278752435,5.469395711500974e-06,0.6870956404912647,1.7742499499253432
Ss04,64041889,64291889,64166889,4,1.1606237816764133,4.642495126705653e-06,0.6870956404912647,1.2350653739828998
Ss04,64141889,64391889,64266889,5,1.662768031189084,6.651072124756336e-06,0.8588695506140809,1.8078415429443462
Ss04,65841889,66091889,65966889,4,1.281760103551488,5.127040414205952e-06,0.6870956404912647,1.5510155016883076
Ss04,65941889,66191889,66066889,5,0.8876079086605403,3.550431634642161e-06,0.8588695506140809,0.06462805790506895
Ss04,66041889,66291889,66166889,4,0.7151768309663047,2.8607073238652187e-06,0.6870956404912647,0.07324191109136144
Ss04,66241889,66491889,66366889,4,1.4137009189640768,5.6548036758563075e-06,0.6870956404912647,1.8951461210920706
Ss04,66341889,66591889,66466889,6,2.0079643553327764,8.031857421331106e-06,1.030643460736897,1.9389423869084539
Ss04,66641889,66891889,66766889,5,2.0265107212475635,8.106042884990254e-06,0.8588695506140809,2.625841777948766
Ss04,66741889,66991889,66866889,6,2.0051796157059316,8.020718462823727e-06,1.030643460736897,1.933417640912692
Ss04,66841889,67091889,66966889,5,1.176051239209134,4.704204956836536e-06,0.8588695506140809,0.7132918486090793
Ss04,66941889,67191889,67066889,5,1.176051239209134,4.704204956836536e-06,0.8588695506140809,0.7132918486090793
Ss04,67041889,67291889,67166889,6,1.8256752993595098,7.302701197438039e-06,1.030643460736897,1.5772925140258687
Ss04,67141889,67391889,67266889,6,2.2793650793650793,9.117460317460318e-06,1.030643460736897,2.477384131655425
Ss04,67241889,67491889,67366889,6,2.240768588137009,8.963074352548036e-06,1.030643460736897,2.4008111521541626
Ss04,67341889,67591889,67466889,4,1.5205792258423838,6.082316903369535e-06,0.6870956404912647,2.1739082147765996
Ss04,67441889,67691889,67566889,9,3.6676134781397938,1.4670453912559175e-05,1.5459651911053456,3.1397404761071654
Ss04,67541889,67791889,67666889,12,5.194430520746311,2.0777722082985244e-05,2.061286921473794,3.719573338840968
Ss04,67641889,67891889,67766889,6,2.9885268727373995,1.1954107490949597e-05,1.030643460736897,3.8843159469361948
Ss04,67741889,67991889,67866889,5,2.206571985519354,8.826287942077416e-06,0.8588695506140809,3.030771307847601
Ss04,68941889,69191889,69066889,8,3.2443330548593705,1.2977332219437483e-05,1.3741912809825294,3.019855485053524
Ss04,69041889,69291889,69166889,8,3.2443330548593705,1.2977332219437483e-05,1.3741912809825294,3.019855485053524
Ss04,71241889,71491889,71366889,5,2.0889217213128846,8.355686885251538e-06,0.8588695506140809,2.7661943241733673
Ss04,71341889,71591889,71466889,6,2.0651400448996293,8.260560179598518e-06,1.030643460736897,2.0523753121788495
Ss04,73041889,73291889,73166889,4,1.621275410749095,6.48510164299638e-06,0.6870956404912647,2.4365459768306006
Ss04,73241889,73491889,73366889,4,1.4851573377889167,5.940629351155667e-06,0.6870956404912647,2.081520152461143
Ss05,6072103,6322103,6197103,4,0.5630743525480367,2.252297410192147e-06,0.6870956404912647,-0.32347475271919024
Ss05,6172103,6422103,6297103,5,1.0723475355054302,4.2893901420217205e-06,0.8588695506140809,0.48007849114801177
Ss05,6272103,6522103,6397103,5,0.9397939292676135,3.759175717070454e-06,0.8588695506140809,0.18198622973161027
Ss05,6472103,6722103,6597103,4,0.44454314187596405,1.7781725675038562e-06,0.6870956404912647,-0.6326301783522987
Ss05,6572103,6822103,6697103,5,0.7319282713663566,2.9277130854654267e-06,0.8588695506140809,-0.28547101864701646
Ss05,6672103,6922103,6797103,4,0.6105820105820106,2.442328042328042e-06,0.6870956404912647,-0.199564348387297
Ss05,8272103,8522103,8397103,6,1.990225200080918,7.960900800323671e-06,1.030643460736897,1.903749033102179
Ss05,8372103,8622103,8497103,6,1.990225200080918,7.960900800323671e-06,1.030643460736897,1.903749033102179
Ss05,8472103,8722103,8597103,7,2.4923694495935886,9.969477798374354e-06,1.2024173708597132,2.294757602205383
Ss05,10972103,11222103,11097103,4,1.1005847953216374,4.4023391812865495e-06,0.6870956404912647,1.07847051364318
Ss05,11072103,11322103,11197103,5,1.4526315789473685,5.810526315789474e-06,0.8588695506140809,1.335277634404815
Ss05,52372103,52622103,52497103,5,1.6976886661097188,6.790754664438875e-06,0.8588695506140809,1.8863725714771544
Ss05,53872103,54122103,53997103,5,2.280868838763576,9.123475355054304e-06,0.8588695506140809,3.1978532728599878
Ss05,53972103,54222103,54097103,5,2.280868838763576,9.123475355054304e-06,0.8588695506140809,3.1978532728599878
Ss05,54672103,54922103,54797103,6,1.6677248677248677,6.670899470899471e-06,1.030643460736897,1.263928921146244
Ss05,54772103,55022103,54897103,5,1.2587023113338902,5.034809245335561e-06,0.8588695506140809,0.8991611410216589
Ss05,54872103,55122103,54997103,5,2.4209728271687716,9.683891308675087e-06,0.8588695506140809,3.512925159038873
Ss05,54972103,55222103,55097103,6,2.9013404127995153,1.1605361651198062e-05,1.030643460736897,3.7113435653235403
Ss05,55072103,55322103,55197103,5,2.373879142300195,9.495516569200778e-06,0.8588695506140809,3.407018851248807
Ss05,55472103,55722103,55597103,4,1.0675020885547202,4.27000835421888e-06,0.6870956404912647,0.9921835497825182
Ss05,55572103,55822103,55697103,4,1.0675020885547202,4.27000835421888e-06,0.6870956404912647,0.9921835497825182
Ss05,56472103,56722103,56597103,4,1.4232804232804235,5.693121693121694e-06,0.6870956404912647,1.920131571906943
Ss06,2332560,2582560,2457560,4,0.9356168198273461,3.7424672793093845e-06,0.6870956404912647,0.6481978083312598
Ss06,2432560,2682560,2557560,4,0.9356168198273461,3.7424672793093845e-06,0.6870956404912647,0.6481978083312598
Ss06,3232560,3482560,3357560,5,0.9169033695349484,3.6676134781397937e-06,0.8588695506140809,0.13050895265508022
Ss06,3332560,3582560,3457560,5,1.0260651629072681,4.104260651629072e-06,0.8588695506140809,0.3759966973509405
Ss06,5532560,5782560,5657560,5,1.5245335561125037,6.098134224450015e-06,0.8588695506140809,1.4969738988958132
Ss06,5632560,5882560,5757560,8,2.458312447786132,9.833249791144528e-06,1.3741912809825294,1.7506101931767708
Ss06,5732560,5982560,5857560,6,1.8388749651907546,7.355499860763018e-06,1.030643460736897,1.6034798100457808
Ss06,5832560,6082560,5957560,7,3.148426622110833,1.2593706488443332e-05,1.2024173708597132,3.461849162376361
Ss06,5932560,6182560,6057560,7,2.8667223614592037,1.1466889445836815e-05,1.2024173708597132,2.960711946226072
Ss06,6032560,6282560,6157560,4,1.3681982734614313,5.472793093845725e-06,0.6870956404912647,1.7764652297214296
Ss06,8932560,9182560,9057560,5,1.2656148948398358,5.062459579359343e-06,0.8588695506140809,0.9147064566716919
Ss06,12532560,12782560,12657560,4,1.5464040735597355,6.185616294238942e-06,0.6870956404912647,2.2412650884869025
Ss06,14232560,14482560,14357560,9,3.080339535391838,1.2321358141567351e-05,1.5459651911053456,2.2706578011525393
Ss06,14332560,14582560,14457560,7,2.3910607829551913,9.564243131820764e-06,1.2024173708597132,2.1145347576746487
Ss06,14432560,14682560,14557560,5,1.4588970402651324,5.83558816106053e-06,0.8588695506140809,1.3493676737936975
Ss06,15532560,15782560,15657560,4,1.2483987747145644,4.9935950988582576e-06,0.6870956404912647,1.4640018302866091
Ss06,15632560,15882560,15757560,6,2.150932887774993,8.603731551099973e-06,1.030643460736897,2.2225828463308788
Ss06,15732560,15982560,15857560,4,1.4827067669172933,5.930827067669173e-06,0.6870956404912647,2.075128525508502
Ss07,127376,377376,252376,16,6.646813185917848,2.658725274367139e-05,2.748382561965059,3.675352261361118
Ss07,227376,477376,352376,16,6.374172481635575,2.54966899265423e-05,2.748382561965059,3.418312768887883
Ss07,327376,577376,452376,9,3.615677268860937,1.4462709075443748e-05,1.5459651911053456,3.06288220537261
Ss07,2027376,2277376,2152376,6,1.470398217766639,5.881592871066556e-06,1.030643460736897,0.8724454198865443
Ss07,2127376,2377376,2252376,10,2.8633249791144526,1.145329991645781e-05,1.7177391012281618,1.56572451769247
Ss07,2227376,2477376,2352376,12,3.836535783904205,1.5346143135616822e-05,2.061286921473794,2.1075217682448715
Ss07,2327376,2577376,2452376,7,2.1184628237259817,8.473851294903927e-06,1.2024173708597132,1.6295971777446305
Ss07,2427376,2677376,2552376,4,0.8716791979949875,3.48671679197995e-06,0.6870956404912647,0.4814344505668831
Ss07,4627376,4877376,4752376,4,1.2371024324051412,4.948409729620565e-06,0.6870956404912647,1.4345384889863262
Ss07,6827376,7077376,6952376,6,2.4699526594263435,9.879810637705374e-06,1.030643460736897,2.855497747605381
Ss07,7027376,7277376,7152376,6,1.3829016986911722,5.531606794764689e-06,1.030643460736897,0.6988579006996993
Ss08,6785829,7035829,6910829,7,2.171038707880813,8.684154831523252e-06,1.2024173708597132,1.7231269389241222
Ss08,6885829,7135829,7010829,9,3.5766638819270398,1.4306655527708158e-05,1.5459651911053456,3.0051478905877587
Ss08,6985829,7235829,7110829,9,3.375549986076302,1.3502199944305208e-05,1.5459651911053456,2.7075276662701975
Ss08,7085829,7335829,7210829,4,1.2236702868281817,4.8946811473127265e-06,0.6870956404912647,1.399504503764498
Ss08,8285829,8535829,8410829,5,1.282106205442192,5.128424821768768e-06,0.8588695506140809,0.9517928265615978
Ss08,8385829,8635829,8510829,6,1.4960299035764164,5.984119614305666e-06,1.030643460736897,0.923297051463548
Ss08,8485829,8735829,8610829,6,1.2628794207741576,5.05151768309663e-06,1.030643460736897,0.46074134828235447
Ss08,8985829,9235829,9110829,4,0.8735374037940538,3.494149615176215e-06,0.6870956404912647,0.48628105933319005
Ss08,9085829,9335829,9210829,4,0.8735374037940538,3.494149615176215e-06,0.6870956404912647,0.48628105933319005
Ss08,12185829,12435829,12310829,6,1.5913116123642441,6.365246449456977e-06,1.030643460736897,1.1123298910225334
Ss08,12285829,12535829,12410829,6,1.3988304093567252,5.5953216374269004e-06,1.030643460736897,0.7304594477954588
Ss08,12585829,12835829,12710829,6,1.3697492984140056,5.478997193656023e-06,1.030643460736897,0.6727643765276518
Ss08,12685829,12935829,12810829,9,2.8102394125883308,1.1240957650353324e-05,1.5459651911053456,1.8709476826799583
Ss08,12785829,13035829,12910829,10,4.744837839883253,1.8979351359533013e-05,1.7177391012281618,4.137274039492544
Ss08,12885829,13135829,13010829,12,5.751855383742902,2.300742153497161e-05,2.061286921473794,4.38133128038269
Ss08,12985829,13235829,13110829,5,2.447563352826511,9.790253411306043e-06,0.8588695506140809,3.572723078918513
Ss08,16485829,16735829,16610829,7,2.45524485152024,9.82097940608096e-06,1.2024173708597132,2.228714874679215
Ss08,16585829,16835829,16710829,6,2.123693751548088,8.494775006192352e-06,1.030643460736897,2.1685421355416565
Ss08,16685829,16935829,16810829,5,1.6709921132368086,6.683968452947235e-06,0.8588695506140809,1.826336213027346
Ss08,20485829,20735829,20610829,4,1.8181565023670287,7.272626009468115e-06,0.6870956404912647,2.950055096775786
Ss08,20585829,20835829,20710829,4,1.8181565023670287,7.272626009468115e-06,0.6870956404912647,2.950055096775786
Ss08,20685829,20935829,20810829,14,5.118081986314814,2.0472327945259256e-05,2.4048347417194265,2.8503445473609212
Ss08,20785829,21035829,20910829,13,4.136572657437064,1.6546290629748255e-05,2.2330608315966103,2.121533318010164
Ss08,20885829,21135829,21010829,14,3.8930750244657464,1.5572300097862985e-05,2.4048347417194265,1.5634393745496777
Ss08,20985829,21235829,21110829,5,0.8442216652742969,3.3768866610971873e-06,0.8588695506140809,-0.03294079572660211
Ss08,21685829,21935829,21810829,4,1.8777499303815095,7.510999721526038e-06,0.6870956404912647,3.1054878431241164
Ss08,21785829,22035829,21910829,4,1.880590364800891,7.522361459203564e-06,0.6870956404912647,3.112896319819223
Ss09,12108047,12358047,12233047,4,1.5390698969646337,6.156279587858534e-06,0.6870956404912647,2.2221359454192586
Ss09,47008047,47258047,47133047,5,2.485547201336675,9.9421888053467e-06,0.8588695506140809,3.658142794164725
Ss09,47108047,47358047,47233047,5,2.485547201336675,9.9421888053467e-06,0.8588695506140809,3.658142794164725
Ss09,49208047,49458047,49333047,4,1.2007240323029797,4.802896129211919e-06,0.6870956404912647,1.3396556332079446
Ss09,61408047,61658047,61533047,6,2.4285157337788914,9.714062935115566e-06,1.030643460736897,2.773289527188441
Ss09,61508047,61758047,61633047,7,2.5381230854915064,1.0152492341966027e-05,1.2024173708597132,2.376150938854244
Ss09,61608047,61858047,61733047,7,2.2201615148983573,8.88064605959343e-06,1.2024173708597132,1.8105138556193694
Ss09,62208047,62458047,62333047,5,2.4252297410192147,9.70091896407686e-06,0.8588695506140809,3.5224982903353292
Ss09,62308047,62558047,62433047,11,5.351596762642484,2.1406387050569937e-05,1.8895130113509782,4.398136768149436
Ss09,62408047,62658047,62533047,9,4.41235978130024,1.764943912520096e-05,1.5459651911053456,4.241860053019899
Ss09,64008047,64258047,64133047,4,1.1616819827346143,4.646727930938458e-06,0.6870956404912647,1.2378253947124493
Ss10,1026969,1276969,1151969,4,1.4352548036758561,5.741019214703425e-06,0.6870956404912647,1.9513633854255317
Ss10,4126969,4376969,4251969,4,1.9938735728209411,7.975494291283765e-06,0.6870956404912647,3.408363802129974
Ss10,4226969,4476969,4351969,4,1.9938735728209411,7.975494291283765e-06,0.6870956404912647,3.408363802129974
Ss10,12626969,12876969,12751969,5,2.3612054632330537,9.444821852932215e-06,0.8588695506140809,3.3785177356562834
Ss10,13426969,13676969,13551969,5,1.1639654692286272,4.655861876914508e-06,0.8588695506140809,0.6861128483034662
Ss10,13526969,13776969,13651969,7,1.393376429353652,5.573505717414608e-06,1.2024173708597132,0.3397062250708249
Ss10,13626969,13876969,13751969,7,1.393376429353652,5.573505717414608e-06,1.2024173708597132,0.3397062250708249
Ss10,14026969,14276969,14151969,4,0.8351571816322836,3.3406287265291343e-06,0.6870956404912647,0.38617701204439475
Ss10,14126969,14376969,14251969,5,1.6071427009862242,6.428570803944897e-06,0.8588695506140809,1.6827489034996268
Ss10,14226969,14476969,14351969,6,2.1596907377447874,8.638762950979149e-06,1.030643460736897,2.23995786268274
Ss10,14326969,14576969,14451969,7,2.910221994810593,1.1640887979242371e-05,1.2024173708597132,3.03809552967223
Ss10,14426969,14676969,14551969,10,3.1091814056653506,1.2436725622661403e-05,1.7177391012281618,1.9017477197183663
Ss10,14526969,14776969,14651969,7,1.7549605247506088,7.019842099002436e-06,1.2024173708597132,0.9829455092488422
Ss10,14626969,14876969,14751969,4,1.2964066458586485,5.185626583434594e-06,0.6870956404912647,1.5892169002511791
Ss10,15026969,15276969,15151969,4,1.779015871250986,7.1160634850039446e-06,0.6870956404912647,2.847967735956483
Ss10,15126969,15376969,15251969,4,1.5310498468393208,6.124199387357283e-06,0.6870956404912647,2.201217893574251
Ss10,15226969,15476969,15351969,6,1.778167641325536,7.112670565302145e-06,1.030643460736897,1.483040347338168
Ss10,15326969,15576969,15451969,7,1.3658590921748817,5.463436368699526e-06,1.2024173708597132,0.29075431458945944
Ss10,15426969,15676969,15551969,5,0.9602621248055001,3.8410484992220006e-06,0.8588695506140809,0.22801598982772617
Ss10,15526969,15776969,15651969,4,0.5754668031680731,2.301867212672292e-06,0.6870956404912647,-0.291152520251035
Ss10,15626969,15876969,15751969,4,1.7162237556569355,6.864895022627742e-06,0.6870956404912647,2.6841921100026696
Ss10,15726969,15976969,15851969,8,3.2120744936129366,1.2848297974451746e-05,1.3741912809825294,2.967765213352875
Ss10,15826969,16076969,15951969,8,3.2466052649858135,1.2986421059943253e-05,1.3741912809825294,3.0235245898825704
Ss10,15926969,16176969,16051969,4,1.4988025619604568,5.995210247841827e-06,0.6870956404912647,2.1171098934474437
Ss10,16026969,16276969,16151969,4,1.368922305764411,5.475689223057644e-06,0.6870956404912647,1.7783536649574376
Ss10,16126969,16376969,16251969,6,1.6196844242353257,6.4787376969413025e-06,1.030643460736897,1.168619742060014
Ss10,16226969,16476969,16351969,6,1.5861004643355763,6.344401857342305e-06,1.030643460736897,1.1019913053511234
Ss10,16626969,16876969,16751969,4,1.6365611571461733,6.546244628584693e-06,0.6870956404912647,2.4764145600224365
Ss10,16726969,16976969,16851969,7,3.417944647152312,1.3671778588609248e-05,1.2024173708597132,3.9413076997061895
Ss10,16826969,17076969,16951969,10,4.47219137508325,1.7888765500333002e-05,1.7177391012281618,3.76463566917046
