chr,start,end,strand,gene_id,name,product,pfam,interpro,go,note,annot_search,roh_panel_frac,n_ihs_outliers_within_100kb,passes_roh_threshold,passes_ihs_threshold,selection_candidate
Ss04,63711287,63714274,-,AYBTSS11_014572,Spste.TSs11.04G145720.1,hypothetical protein,,,,"COG:S,EggNog:ENOG503G7A9","hypothetical protein | COG:S,EggNog:ENOG503G7A9 |  |  | Spste.TSs11.04G145720.1",0.4044943820224719,1,True,True,True
Ss04,63714293,63717181,-,AYBTSS11_014573,Spste.TSs11.04G145730.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.04G145730.1,0.4044943820224719,1,True,True,True
Ss04,63717236,63725396,+,AYBTSS11_014574,Spste.TSs11.04G145740.1,hypothetical protein,"PF13481,PF18073","IPR027417,IPR020568,IPR004504","GO:0006281,GO:0003684,GO:0005524","EggNog:ENOG503GG4U,COG:L,MEROPS:MER0014135","hypothetical protein | EggNog:ENOG503GG4U,COG:L,MEROPS:MER0014135 | PF13481,PF18073 | IPR027417,IPR020568,IPR004504 | Spste.TSs11.04G145740.1",0.4044943820224719,1,True,True,True
Ss04,63725462,63733744,-,AYBTSS11_014575,Spste.TSs11.04G145750.1,ATP-dependent 6-phosphofructokinase 3,PF00365,"IPR000023,IPR022953","GO:0006002,GO:0006096,GO:0003872","COG:G,EggNog:ENOG503G7FQ","ATP-dependent 6-phosphofructokinase 3 | COG:G,EggNog:ENOG503G7FQ | PF00365 | IPR000023,IPR022953 | Spste.TSs11.04G145750.1",0.4044943820224719,1,True,True,True
Ss04,63734860,63739732,+,AYBTSS11_014576,Spste.TSs11.04G145760.1,hypothetical protein,"PF05193,PF00675","IPR011249,IPR007863,IPR011765","GO:0003824,GO:0046872","MEROPS:MER0079232,COG:O,EggNog:ENOG503G8AB","hypothetical protein | MEROPS:MER0079232,COG:O,EggNog:ENOG503G8AB | PF05193,PF00675 | IPR011249,IPR007863,IPR011765 | Spste.TSs11.04G145760.1",0.4044943820224719,1,True,True,True
Ss04,63740747,63741307,+,AYBTSS11_014577,Spste.TSs11.04G145770.1,hypothetical protein,,,,"EggNog:ENOG503GJEY,BUSCO:EOG09360W85","hypothetical protein | EggNog:ENOG503GJEY,BUSCO:EOG09360W85 |  |  | Spste.TSs11.04G145770.1",0.4044943820224719,1,True,True,True
Ss04,63745040,63746042,+,AYBTSS11_014578,Spste.TSs11.04G145780.1,hypothetical protein,PF03767,"IPR010028,IPR023214,IPR005519",GO:0003993,"COG:S,EggNog:ENOG503GFIW","hypothetical protein | COG:S,EggNog:ENOG503GFIW | PF03767 | IPR010028,IPR023214,IPR005519 | Spste.TSs11.04G145780.1",0.4044943820224719,1,True,True,True
Ss04,63749553,63750728,+,AYBTSS11_014579,Spste.TSs11.04G145790.1,hypothetical protein,PF03767,"IPR011267,IPR023214,IPR005519",GO:0045735,"COG:S,EggNog:ENOG503GFIW","hypothetical protein | COG:S,EggNog:ENOG503GFIW | PF03767 | IPR011267,IPR023214,IPR005519 | Spste.TSs11.04G145790.1",0.4044943820224719,1,True,True,True
Ss04,63769351,63770507,+,AYBTSS11_014580,Spste.TSs11.04G145800.1,hypothetical protein,PF03767,"IPR011267,IPR023214,IPR005519",GO:0045735,"COG:S,EggNog:ENOG503GFIW","hypothetical protein | COG:S,EggNog:ENOG503GFIW | PF03767 | IPR011267,IPR023214,IPR005519 | Spste.TSs11.04G145800.1",0.4044943820224719,1,True,True,True
Ss06,9012817,9020614,+,AYBTSS11_019066,Spste.TSs11.06G190660.1,hypothetical protein,PF00450,"IPR029058,IPR001563","GO:0004185,GO:0006508","EggNog:ENOG503G7X9,COG:O,MEROPS:MER0010959","hypothetical protein | EggNog:ENOG503G7X9,COG:O,MEROPS:MER0010959 | PF00450 | IPR029058,IPR001563 | Spste.TSs11.06G190660.1",0.42696629213483145,2,True,True,True
Ss06,9030504,9039170,+,AYBTSS11_019067,Spste.TSs11.06G190670.1,hypothetical protein,PF00307,"IPR029058,IPR001715,IPR001563","GO:0005515,GO:0004185,GO:0006508","MEROPS:MER0004653,EggNog:ENOG503G7X9,COG:O","hypothetical protein | MEROPS:MER0004653,EggNog:ENOG503G7X9,COG:O | PF00307 | IPR029058,IPR001715,IPR001563 | Spste.TSs11.06G190670.1",0.42696629213483145,2,True,True,True
Ss06,9048784,9052176,+,AYBTSS11_019068,Spste.TSs11.06G190680.1,hypothetical protein,PF00450,"IPR029058,IPR001563","GO:0004185,GO:0006508","MEROPS:MER0016609,EggNog:ENOG503G7X9,COG:O","hypothetical protein | MEROPS:MER0016609,EggNog:ENOG503G7X9,COG:O | PF00450 | IPR029058,IPR001563 | Spste.TSs11.06G190680.1",0.42696629213483145,2,True,True,True
Ss06,9055652,9064652,+,AYBTSS11_019069,Spste.TSs11.06G190690.1,hypothetical protein,PF12706,IPR001279,,"COG:S,EggNog:ENOG503GBUC","hypothetical protein | COG:S,EggNog:ENOG503GBUC | PF12706 | IPR001279 | Spste.TSs11.06G190690.1",0.42696629213483145,2,True,True,True
Ss06,9066169,9068526,+,AYBTSS11_019070,Spste.TSs11.06G190700.1,hypothetical protein,"PF01535,PF17177,PF12854,PF13041,PF13812",IPR002885,,"COG:J,EggNog:ENOG503GFKG,BUSCO:EOG093602VC","hypothetical protein | COG:J,EggNog:ENOG503GFKG,BUSCO:EOG093602VC | PF01535,PF17177,PF12854,PF13041,PF13812 | IPR002885 | Spste.TSs11.06G190700.1",0.42696629213483145,2,True,True,True
Ss06,9070362,9070917,-,AYBTSS11_019071,Spste.TSs11.06G190710.1,60S ribosomal protein L38-1,PF01781,IPR002675,"GO:0006412,GO:0003735,GO:0005840,GO:0005622","COG:J,EggNog:ENOG503GK1H,MEROPS:MER0023838","60S ribosomal protein L38-1 | COG:J,EggNog:ENOG503GK1H,MEROPS:MER0023838 | PF01781 | IPR002675 | Spste.TSs11.06G190710.1",0.42696629213483145,2,True,True,True
Ss06,9091200,9098654,-,AYBTSS11_019072,Spste.TSs11.06G190720.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.06G190720.1,0.43258426966292135,2,True,True,True
Ss06,9108613,9113013,+,AYBTSS11_019073,Spste.TSs11.06G190730.1,hypothetical protein,"PF00651,PF03000","IPR000210,IPR027356,IPR011333",GO:0005515,"COG:S,EggNog:ENOG503GD84","hypothetical protein | COG:S,EggNog:ENOG503GD84 | PF00651,PF03000 | IPR000210,IPR027356,IPR011333 | Spste.TSs11.06G190730.1",0.43258426966292135,2,True,True,True
Ss06,9114075,9114296,-,AYBTSS11_019074,Spste.TSs11.06G190740.1,Ubiquitin-like 5,PF00240,"IPR029071,IPR000626",GO:0005515,"EggNog:ENOG503GK34,COG:O","Ubiquitin-like 5 | EggNog:ENOG503GK34,COG:O | PF00240 | IPR029071,IPR000626 | Spste.TSs11.06G190740.1",0.43820224719101125,2,True,True,True
Ss06,9116701,9122647,+,AYBTSS11_019075,Spste.TSs11.06G190750.1,Hydroxyproline O-galactosyltransferase galt2,"PF00337,PF01762","IPR001079,IPR013320,IPR002659","GO:0016020,GO:0006486,GO:0008378,GO:0030246","COG:G,CAZy:GT31,EggNog:ENOG503GBPB","Hydroxyproline O-galactosyltransferase galt2 | COG:G,CAZy:GT31,EggNog:ENOG503GBPB | PF00337,PF01762 | IPR001079,IPR013320,IPR002659 | Spste.TSs11.06G190750.1",0.43820224719101125,2,True,True,True
Ss06,9125777,9130200,+,AYBTSS11_019076,Spste.TSs11.06G190760.1,CSC1-like protein erd4,"PF14703,PF02714,PF13967","IPR003864,IPR027815,IPR032880",GO:0016020,"COG:S,EggNog:ENOG503GAPK","CSC1-like protein erd4 | COG:S,EggNog:ENOG503GAPK | PF14703,PF02714,PF13967 | IPR003864,IPR027815,IPR032880 | Spste.TSs11.06G190760.1",0.43820224719101125,2,True,True,True
Ss06,9132171,9133295,-,AYBTSS11_019077,Spste.TSs11.06G190770.1,hypothetical protein,"PF01535,PF12854,PF13041,PF13812",IPR002885,,"COG:O,BUSCO:EOG09360IIY,EggNog:ENOG503GFJX","hypothetical protein | COG:O,BUSCO:EOG09360IIY,EggNog:ENOG503GFJX | PF01535,PF12854,PF13041,PF13812 | IPR002885 | Spste.TSs11.06G190770.1",0.43820224719101125,2,True,True,True
Ss06,9136198,9138975,+,AYBTSS11_019078,Spste.TSs11.06G190780.1,hypothetical protein,,IPR019049,,"COG:S,EggNog:ENOG503GGCE","hypothetical protein | COG:S,EggNog:ENOG503GGCE |  | IPR019049 | Spste.TSs11.06G190780.1",0.43820224719101125,2,True,True,True
Ss06,9141194,9143017,+,AYBTSS11_019079,Spste.TSs11.06G190790.1,Pentatricopeptide repeat-containing protein At4g21065,"PF01535,PF20430,PF13041,PF14432,PF13812,PF20431","IPR032867,IPR002885",GO:0008270,"EggNog:ENOG503GCZF,COG:S,BUSCO:EOG093602T8","Pentatricopeptide repeat-containing protein At4g21065 | EggNog:ENOG503GCZF,COG:S,BUSCO:EOG093602T8 | PF01535,PF20430,PF13041,PF14432,PF13812,PF20431 | IPR032867,IPR002885 | Spste.TSs11.06G190790.1",0.43820224719101125,2,True,True,True
Ss06,9143109,9143610,+,AYBTSS11_019080,Spste.TSs11.06G190800.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.06G190800.1,0.43820224719101125,2,True,True,True
Ss06,9145454,9148132,+,AYBTSS11_019081,Spste.TSs11.06G190810.1,hypothetical protein,"PF00240,PF02179","IPR000626,IPR029071,IPR003103","GO:0051087,GO:0005515","COG:T,EggNog:ENOG503GE5P","hypothetical protein | COG:T,EggNog:ENOG503GE5P | PF00240,PF02179 | IPR000626,IPR029071,IPR003103 | Spste.TSs11.06G190810.1",0.43820224719101125,2,True,True,True
Ss06,9158957,9164078,+,AYBTSS11_019082,Spste.TSs11.06G190820.1,hypothetical protein,"PF00533,PF00097,PF13920,PF13639,PF13923","IPR001357,IPR031099","GO:0006281,GO:0006974","EggNog:ENOG503G75Y,COG:L","hypothetical protein | EggNog:ENOG503G75Y,COG:L | PF00533,PF00097,PF13920,PF13639,PF13923 | IPR001357,IPR031099 | Spste.TSs11.06G190820.1",0.43820224719101125,2,True,True,True
Ss06,9164357,9171158,-,AYBTSS11_019083,Spste.TSs11.06G190830.1,hypothetical protein,,,,EggNog:ENOG503GC31,hypothetical protein | EggNog:ENOG503GC31 |  |  | Spste.TSs11.06G190830.1,0.43820224719101125,2,True,True,True
Ss06,9171710,9172042,+,AYBTSS11_019084,Spste.TSs11.06G190840.1,hypothetical protein,"PF12937,PF00646",IPR001810,GO:0005515,"COG:S,EggNog:ENOG503GAWW","hypothetical protein | COG:S,EggNog:ENOG503GAWW | PF12937,PF00646 | IPR001810 | Spste.TSs11.06G190840.1",0.43820224719101125,2,True,True,True
Ss06,9173227,9173895,+,AYBTSS11_019085,Spste.TSs11.06G190850.1,hypothetical protein,PF13516,IPR001611,GO:0005515,"COG:S,EggNog:ENOG503GAWW","hypothetical protein | COG:S,EggNog:ENOG503GAWW | PF13516 | IPR001611 | Spste.TSs11.06G190850.1",0.43820224719101125,2,True,True,True
Ss06,9190671,9190871,-,AYBTSS11_019086,Spste.TSs11.06G190860.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.06G190860.1,0.43820224719101125,2,True,True,True
Ss06,9192894,9196510,+,AYBTSS11_019087,Spste.TSs11.06G190870.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.06G190870.1,0.43820224719101125,2,True,True,True
Ss06,9197740,9199916,-,AYBTSS11_019088,Spste.TSs11.06G190880.1,hypothetical protein,"PF07714,PF00069","IPR011009,IPR000719","GO:0005524,GO:0004672,GO:0006468","EggNog:ENOG503GDS3,COG:T","hypothetical protein | EggNog:ENOG503GDS3,COG:T | PF07714,PF00069 | IPR011009,IPR000719 | Spste.TSs11.06G190880.1",0.43820224719101125,2,True,True,True
Ss06,9202176,9204619,-,AYBTSS11_019089,Spste.TSs11.06G190890.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.06G190890.1,0.43820224719101125,2,True,True,True
Ss06,9213260,9234215,-,AYBTSS11_019090,Spste.TSs11.06G190900.1,Canalicular multispecific organic anion transporter 1,"PF00664,PF00005","IPR003439,IPR011527,IPR027417","GO:0042626,GO:0016887,GO:0005524,GO:0016021,GO:0055085,GO:0006810","COG:Q,EggNog:ENOG503GA7A","Canalicular multispecific organic anion transporter 1 | COG:Q,EggNog:ENOG503GA7A | PF00664,PF00005 | IPR003439,IPR011527,IPR027417 | Spste.TSs11.06G190900.1",0.43820224719101125,2,True,True,True
Ss06,9500511,9504734,+,AYBTSS11_019125,Spste.TSs11.06G191250.1,hypothetical protein,PF05383,"IPR000504,IPR006630,IPR002344,IPR011991","GO:0003723,GO:0003676,GO:0030529,GO:0005634,GO:0006396","EggNog:ENOG503GD6V,BUSCO:EOG09360G0X,COG:A","hypothetical protein | EggNog:ENOG503GD6V,BUSCO:EOG09360G0X,COG:A | PF05383 | IPR000504,IPR006630,IPR002344,IPR011991 | Spste.TSs11.06G191250.1",0.43820224719101125,1,True,True,True
Ss06,9508170,9515015,+,AYBTSS11_019126,Spste.TSs11.06G191260.1,hypothetical protein,PF00953,IPR000715,"GO:0016021,GO:0008963","COG:M,EggNog:ENOG503GCFC,BUSCO:EOG09360IPZ","hypothetical protein | COG:M,EggNog:ENOG503GCFC,BUSCO:EOG09360IPZ | PF00953 | IPR000715 | Spste.TSs11.06G191260.1",0.43820224719101125,1,True,True,True
Ss06,9515360,9523399,-,AYBTSS11_019127,Spste.TSs11.06G191270.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.06G191270.1,0.43820224719101125,1,True,True,True
Ss06,9523700,9525244,-,AYBTSS11_019128,Spste.TSs11.06G191280.1,hypothetical protein,PF00067,"IPR002403,IPR001128","GO:0005506,GO:0004497,GO:0016705,GO:0020037,GO:0055114","COG:Q,EggNog:ENOG503G90U","hypothetical protein | COG:Q,EggNog:ENOG503G90U | PF00067 | IPR002403,IPR001128 | Spste.TSs11.06G191280.1",0.43820224719101125,1,True,True,True
Ss06,9558970,9560836,+,AYBTSS11_019129,Spste.TSs11.06G191290.1,"ribosomal protein S14, S11",,IPR001971,"GO:0005840,GO:0006412,GO:0003735","COG:J,EggNog:ENOG50KOG0407","ribosomal protein S14, S11 | COG:J,EggNog:ENOG50KOG0407 |  | IPR001971 | Spste.TSs11.06G191290.1",0.43820224719101125,1,True,True,True
Ss06,9562115,9563861,-,AYBTSS11_019130,Spste.TSs11.06G191300.1,"ribosomal protein S14, S11",PF00411,IPR001971,"GO:0005840,GO:0006412,GO:0003735","COG:J,EggNog:ENOG503GCV6","ribosomal protein S14, S11 | COG:J,EggNog:ENOG503GCV6 | PF00411 | IPR001971 | Spste.TSs11.06G191300.1",0.43820224719101125,1,True,True,True
Ss06,9564979,9571561,+,AYBTSS11_019131,Spste.TSs11.06G191310.1,Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A,PF01775,IPR023573,"GO:0005840,GO:0006412,GO:0003735","COG:J,EggNog:ENOG503GH4M","Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A | COG:J,EggNog:ENOG503GH4M | PF01775 | IPR023573 | Spste.TSs11.06G191310.1",0.43820224719101125,1,True,True,True
Ss06,9574643,9589486,+,AYBTSS11_019133,Spste.TSs11.06G191330.1,hypothetical protein,"PF14608,PF00642",IPR000571,GO:0046872,"COG:S,EggNog:ENOG503G783","hypothetical protein | COG:S,EggNog:ENOG503G783 | PF14608,PF00642 | IPR000571 | Spste.TSs11.06G191330.1",0.43820224719101125,1,True,True,True
Ss06,9592065,9593030,-,AYBTSS11_019134,Spste.TSs11.06G191340.1,hypothetical protein,PF00847,"IPR016177,IPR001471","GO:0006355,GO:0003677,GO:0003700","EggNog:ENOG503GE57,COG:K","hypothetical protein | EggNog:ENOG503GE57,COG:K | PF00847 | IPR016177,IPR001471 | Spste.TSs11.06G191340.1",0.43258426966292135,1,True,True,True
Ss06,9599958,9603251,-,AYBTSS11_019135,Spste.TSs11.06G191350.1,hypothetical protein,"PF01926,PF02421,PF09269,PF01018","IPR015349,IPR014100,IPR006073,IPR027417,IPR006169","GO:0000166,GO:0005525,GO:0003924,GO:0000287","BUSCO:EOG09360BRK,COG:S,EggNog:ENOG503GBBM","hypothetical protein | BUSCO:EOG09360BRK,COG:S,EggNog:ENOG503GBBM | PF01926,PF02421,PF09269,PF01018 | IPR015349,IPR014100,IPR006073,IPR027417,IPR006169 | Spste.TSs11.06G191350.1",0.43258426966292135,1,True,True,True
Ss06,9605036,9610743,+,AYBTSS11_019136,Spste.TSs11.06G191360.1,Anaphase-promoting complex subunit 7,"PF13432,PF13181","IPR019734,IPR011990",GO:0005515,"EggNog:ENOG503GB0X,COG:D,COG:O","Anaphase-promoting complex subunit 7 | EggNog:ENOG503GB0X,COG:D,COG:O | PF13432,PF13181 | IPR019734,IPR011990 | Spste.TSs11.06G191360.1",0.43258426966292135,1,True,True,True
Ss06,9618468,9620893,-,AYBTSS11_019137,Spste.TSs11.06G191370.1,hypothetical protein,,,,"COG:S,EggNog:ENOG503GBRG","hypothetical protein | COG:S,EggNog:ENOG503GBRG |  |  | Spste.TSs11.06G191370.1",0.42696629213483145,1,True,True,True
Ss06,9642564,9647226,-,AYBTSS11_019138,Spste.TSs11.06G191380.1,hypothetical protein,"PF07646,PF13964,PF01344,PF13418",IPR006652,GO:0005515,"COG:S,EggNog:ENOG503GBRG","hypothetical protein | COG:S,EggNog:ENOG503GBRG | PF07646,PF13964,PF01344,PF13418 | IPR006652 | Spste.TSs11.06G191380.1",0.4213483146067416,1,True,True,True
Ss06,9657659,9657967,-,AYBTSS11_019139,Spste.TSs11.06G191390.1,Monothiol glutaredoxin-S2,PF00462,"IPR012336,IPR002109,IPR014025,IPR011905","GO:0015035,GO:0009055,GO:0045454","EggNog:ENOG503GJCE,COG:O","Monothiol glutaredoxin-S2 | EggNog:ENOG503GJCE,COG:O | PF00462 | IPR012336,IPR002109,IPR014025,IPR011905 | Spste.TSs11.06G191390.1",0.4213483146067416,1,True,True,True
Ss06,9665682,9665990,-,AYBTSS11_019140,Spste.TSs11.06G191400.1,Monothiol glutaredoxin-S10,PF00462,"IPR002109,IPR012336,IPR011905","GO:0015035,GO:0009055,GO:0045454","EggNog:ENOG503GJM2,COG:O","Monothiol glutaredoxin-S10 | EggNog:ENOG503GJM2,COG:O | PF00462 | IPR002109,IPR012336,IPR011905 | Spste.TSs11.06G191400.1",0.4157303370786517,1,True,True,True
Ss06,9693115,9699457,+,AYBTSS11_019141,Spste.TSs11.06G191410.1,Serine/threonine-protein kinase pbl27,"PF07714,PF00069","IPR011009,IPR000719","GO:0005524,GO:0004672,GO:0006468","EggNog:ENOG503GD5J,COG:T","Serine/threonine-protein kinase pbl27 | EggNog:ENOG503GD5J,COG:T | PF07714,PF00069 | IPR011009,IPR000719 | Spste.TSs11.06G191410.1",0.4157303370786517,1,True,True,True
Ss08,19427683,19427931,-,AYBTSS11_024245,Spste.TSs11.08G242450.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.08G242450.1,0.4044943820224719,1,True,True,True
Ss08,19437603,19438259,+,AYBTSS11_024246,Spste.TSs11.08G242460.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.08G242460.1,0.4044943820224719,1,True,True,True
Ss08,19438330,19439592,+,AYBTSS11_024247,Spste.TSs11.08G242470.1,hypothetical protein,PF12767,IPR024738,GO:0070461,"COG:S,EggNog:ENOG503GFTB","hypothetical protein | COG:S,EggNog:ENOG503GFTB | PF12767 | IPR024738 | Spste.TSs11.08G242470.1",0.4044943820224719,1,True,True,True
